Image,Cluster
Test_0_brightness_contrast.jpg,1
Test_100_brightness_contrast.jpg,1
Test_101_brightness_contrast.jpg,-1
Test_102_brightness_contrast.jpg,-1
Test_103_brightness_contrast.jpg,1
Test_104_brightness_contrast.jpg,0
Test_105_brightness_contrast.jpg,0
Test_106_brightness_contrast.jpg,0
Test_107_brightness_contrast.jpg,0
Test_108_brightness_contrast.jpg,0
Test_109_brightness_contrast.jpg,0
Test_10_brightness_contrast.jpg,0
Test_110_brightness_contrast.jpg,0
Test_111_brightness_contrast.jpg,0
Test_112_brightness_contrast.jpg,0
Test_113_brightness_contrast.jpg,0
Test_114_brightness_contrast.jpg,0
Test_115_brightness_contrast.jpg,-1
Test_116_brightness_contrast.jpg,-1
Test_117_brightness_contrast.jpg,-1
Test_118_brightness_contrast.jpg,-1
Test_119_brightness_contrast.jpg,-1
Test_11_brightness_contrast.jpg,-1
Test_120_brightness_contrast.jpg,-1
Test_121_brightness_contrast.jpg,-1
Test_122_brightness_contrast.jpg,0
Test_123_brightness_contrast.jpg,0
Test_124_brightness_contrast.jpg,0
Test_125_brightness_contrast.jpg,-1
Test_126_brightness_contrast.jpg,0
Test_127_brightness_contrast.jpg,0
Test_128_brightness_contrast.jpg,-1
Test_129_brightness_contrast.jpg,-1
Test_12_brightness_contrast.jpg,-1
Test_130_brightness_contrast.jpg,0
Test_131_brightness_contrast.jpg,-1
Test_132_brightness_contrast.jpg,0
Test_133_brightness_contrast.jpg,0
Test_134_brightness_contrast.jpg,0
Test_135_brightness_contrast.jpg,0
Test_136_brightness_contrast.jpg,0
Test_137_brightness_contrast.jpg,0
Test_138_brightness_contrast.jpg,0
Test_139_brightness_contrast.jpg,0
Test_13_brightness_contrast.jpg,-1
Test_140_brightness_contrast.jpg,0
Test_141_brightness_contrast.jpg,0
Test_142_brightness_contrast.jpg,-1
Test_143_brightness_contrast.jpg,-1
Test_144_brightness_contrast.jpg,-1
Test_145_brightness_contrast.jpg,-1
Test_146_brightness_contrast.jpg,-1
Test_147_brightness_contrast.jpg,-1
Test_148_brightness_contrast.jpg,0
Test_149_brightness_contrast.jpg,-1
Test_14_brightness_contrast.jpg,-1
Test_150_brightness_contrast.jpg,-1
Test_151_brightness_contrast.jpg,-1
Test_152_brightness_contrast.jpg,-1
Test_153_brightness_contrast.jpg,-1
Test_154_brightness_contrast.jpg,-1
Test_155_brightness_contrast.jpg,0
Test_156_brightness_contrast.jpg,-1
Test_157_brightness_contrast.jpg,-1
Test_158_brightness_contrast.jpg,-1
Test_159_brightness_contrast.jpg,-1
Test_15_brightness_contrast.jpg,0
Test_160_brightness_contrast.jpg,0
Test_161_brightness_contrast.jpg,1
Test_162_brightness_contrast.jpg,1
Test_163_brightness_contrast.jpg,-1
Test_164_brightness_contrast.jpg,1
Test_165_brightness_contrast.jpg,1
Test_166_brightness_contrast.jpg,1
Test_167_brightness_contrast.jpg,1
Test_168_brightness_contrast.jpg,1
Test_169_brightness_contrast.jpg,1
Test_16_brightness_contrast.jpg,-1
Test_170_brightness_contrast.jpg,0
Test_171_brightness_contrast.jpg,0
Test_172_brightness_contrast.jpg,0
Test_173_brightness_contrast.jpg,-1
Test_174_brightness_contrast.jpg,0
Test_175_brightness_contrast.jpg,-1
Test_176_brightness_contrast.jpg,0
Test_177_brightness_contrast.jpg,0
Test_178_brightness_contrast.jpg,-1
Test_179_brightness_contrast.jpg,-1
Test_17_brightness_contrast.jpg,-1
Test_180_brightness_contrast.jpg,-1
Test_181_brightness_contrast.jpg,-1
Test_182_brightness_contrast.jpg,-1
Test_183_brightness_contrast.jpg,0
Test_184_brightness_contrast.jpg,0
Test_18_brightness_contrast.jpg,-1
Test_19_brightness_contrast.jpg,-1
Test_1_brightness_contrast.jpg,-1
Test_20_brightness_contrast.jpg,0
Test_21_brightness_contrast.jpg,0
Test_22_brightness_contrast.jpg,-1
Test_23_brightness_contrast.jpg,-1
Test_24_brightness_contrast.jpg,-1
Test_25_brightness_contrast.jpg,0
Test_26_brightness_contrast.jpg,0
Test_27_brightness_contrast.jpg,-1
Test_28_brightness_contrast.jpg,-1
Test_29_brightness_contrast.jpg,0
Test_2_brightness_contrast.jpg,1
Test_30_brightness_contrast.jpg,0
Test_31_brightness_contrast.jpg,-1
Test_32_brightness_contrast.jpg,-1
Test_33_brightness_contrast.jpg,-1
Test_34_brightness_contrast.jpg,-1
Test_35_brightness_contrast.jpg,-1
Test_36_brightness_contrast.jpg,-1
Test_37_brightness_contrast.jpg,-1
Test_38_brightness_contrast.jpg,-1
Test_39_brightness_contrast.jpg,0
Test_3_brightness_contrast.jpg,-1
Test_40_brightness_contrast.jpg,-1
Test_41_brightness_contrast.jpg,0
Test_42_brightness_contrast.jpg,-1
Test_43_brightness_contrast.jpg,0
Test_44_brightness_contrast.jpg,0
Test_45_brightness_contrast.jpg,0
Test_46_brightness_contrast.jpg,0
Test_47_brightness_contrast.jpg,-1
Test_48_brightness_contrast.jpg,-1
Test_49_brightness_contrast.jpg,0
Test_4_brightness_contrast.jpg,-1
Test_50_brightness_contrast.jpg,0
Test_51_brightness_contrast.jpg,-1
Test_52_brightness_contrast.jpg,0
Test_53_brightness_contrast.jpg,-1
Test_54_brightness_contrast.jpg,0
Test_55_brightness_contrast.jpg,2
Test_56_brightness_contrast.jpg,-1
Test_57_brightness_contrast.jpg,-1
Test_58_brightness_contrast.jpg,-1
Test_59_brightness_contrast.jpg,-1
Test_5_brightness_contrast.jpg,1
Test_60_brightness_contrast.jpg,-1
Test_61_brightness_contrast.jpg,1
Test_62_brightness_contrast.jpg,0
Test_63_brightness_contrast.jpg,-1
Test_64_brightness_contrast.jpg,-1
Test_65_brightness_contrast.jpg,-1
Test_66_brightness_contrast.jpg,0
Test_67_brightness_contrast.jpg,-1
Test_68_brightness_contrast.jpg,0
Test_69_brightness_contrast.jpg,0
Test_6_brightness_contrast.jpg,0
Test_70_brightness_contrast.jpg,0
Test_71_brightness_contrast.jpg,0
Test_72_brightness_contrast.jpg,-1
Test_73_brightness_contrast.jpg,0
Test_74_brightness_contrast.jpg,-1
Test_75_brightness_contrast.jpg,0
Test_76_brightness_contrast.jpg,-1
Test_77_brightness_contrast.jpg,-1
Test_78_brightness_contrast.jpg,-1
Test_79_brightness_contrast.jpg,-1
Test_7_brightness_contrast.jpg,-1
Test_80_brightness_contrast.jpg,-1
Test_81_brightness_contrast.jpg,2
Test_82_brightness_contrast.jpg,-1
Test_83_brightness_contrast.jpg,-1
Test_84_brightness_contrast.jpg,0
Test_85_brightness_contrast.jpg,-1
Test_86_brightness_contrast.jpg,0
Test_87_brightness_contrast.jpg,0
Test_88_brightness_contrast.jpg,0
Test_89_brightness_contrast.jpg,-1
Test_8_brightness_contrast.jpg,-1
Test_90_brightness_contrast.jpg,-1
Test_91_brightness_contrast.jpg,-1
Test_92_brightness_contrast.jpg,0
Test_93_brightness_contrast.jpg,0
Test_94_brightness_contrast.jpg,0
Test_95_brightness_contrast.jpg,0
Test_96_brightness_contrast.jpg,-1
Test_97_brightness_contrast.jpg,-1
Test_98_brightness_contrast.jpg,0
Test_99_brightness_contrast.jpg,1
Test_9_brightness_contrast.jpg,-1
